연번,가격,상품명,상세정보
77,"1,399,000원",[혜택가110만] LG일체형PC 27인치 i5 올인원 컴퓨터 SSD+RAM 더블 업그레이드,"품목 : 데스크탑형태 : 일체형PC특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-1240P, CPU종류 : 코어i5 12세대코어종류 : 12코어램용량 : 8GB     "
78,"450,000원",포토샵 컴퓨터 일러스트 CC 사양의 웹디자인 디자인용 PC 디자이너 피씨 포토샵용 1,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5 PRO, 메인보드 : (AMD)A520M, 칩셋램용량 : 16GB, 램규격 : DDR4, SSD용량 : 500GB랜 : 유선랜 1Gbps형태 : 타워형"
79,"최저948,000원",삼성전자 삼성 DM500TFA-A58A,"품목 : 데스크탑CPU제조사 : 인텔, CPU종류 : 코어i5 13세대램용량 : 8GB, SSD용량 : 256GB속도(기본클럭) : 2.5GHz터보부스트 : 4.6GHz, 운영체제 : 윈도우11 홈"
80,"최저810,820원",삼성전자 삼성 DM500SFZ-AD5A,"품목 : 데스크탑, CPU종류 : 코어i5 13세대램용량 : 8GB, SSD용량 : 256GB속도(기본클럭) : 2.5GHz터보부스트 : 4.6GHz, 운영체제 : 리눅스SSD 인터페이스 : NVMe"
81,"최저1,749,000원",삼성전자 올인원 프로 DM970AGA-L51AR,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : Ultra5-125H, CPU종류 : 코어 울트라5램용량 : 32GB, SSD용량 : 512GB속도(기본클럭) : 4.5GHz"
82,"499,000원",조립컴퓨터 조립PC 게이밍PC 배그 디아블로4 팰월드 발로란트 게임용컴퓨터 컴퓨터본체01,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 14세대, CPU : 코어i5-14400F, , 그래픽 : 지포스 RTX4060, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB"
83,"최저1,287,990원",삼성전자 삼성 DM530AFA-L78A,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-1360P, CPU종류 : 코어i7 13세대코어종류 : 6+8코어램용량 : 8GB, SSD용량 : 512GB    "
84,"최저1,089,000원",삼성전자 삼성 DM530AFA-L58A,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : 인텔CPU : 코어i5-1340P, CPU종류 : 코어i5 13세대코어종류 : 12코어램용량 : 8GB, SSD용량 : 256GB    "
85,"최저460,400원",아싸컴 i게이밍5 G2,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100F, , 그래픽 : 지포스GT1030, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB속도(기본클럭) : 2.9GHz    "
86,"최저699,000원",삼성전자 삼성 DM500SFA-A24A,"품목 : 데스크탑CPU제조사 : 인텔, CPU종류 : 펜티엄 골드코어종류 : 2코어램용량 : 4GB, SSD용량 : 128GB속도(기본클럭) : 3.7GHz, 운영체제 : 윈도우11 프로"
