회사명,직무명,링크
클라우드이모션,[ 마포 / 합정 ] 여성의류쇼핑몰 클라우드이모션 신입 MD 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45234764?rPageCode=SL&logpath=21&sn=6
㈜지엔엠라이프,[경력] 홍보/콘텐츠 마케팅 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45231025?rPageCode=SL&logpath=21&sn=6
㈜릴팡,㈜릴팡 각 분야 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45235376?rPageCode=SL&logpath=21&sn=6
뷰티크,[여성의류 커머스 잇수다] 각부문 패션MD / 온라인MD / 라이브 쇼호스트 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45228795?rPageCode=SL&logpath=21&sn=6
㈜바이와이제이,"[VA스타일] 온라인MD채용 (과장,차장급)",https://www.jobkorea.co.kr/Recruit/GI_Read/45219809?rPageCode=SL&logpath=21&sn=6
㈜바이와이제이,"[VA스타일] 온라인MD채용 (주임,대리급)",https://www.jobkorea.co.kr/Recruit/GI_Read/45219803?rPageCode=SL&logpath=21&sn=6
㈜웨이코스,Thinkway브랜드 영업 온라인MD 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45218818?rPageCode=SL&logpath=21&sn=6
㈜웨이코스,노트북 온라인MD 온라인 영업담당 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45218819?rPageCode=SL&logpath=21&sn=6
(주)제이엠더블유,[JMW] 부문별 경력사원 모집(MD/상품기획),https://www.jobkorea.co.kr/Recruit/GI_Read/45200087?rPageCode=SL&logpath=21&sn=6
현민무역㈜,이커머스 인터넷쇼핑몰관리 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45219179?rPageCode=SL&logpath=21&sn=6
㈜코암코리아,"[주식회사 코암코리아] 상품개발,기획 / B2B영업 / 해외사업개발, 온오프라인 MD/영업 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45206717?rPageCode=SL&logpath=21&sn=6
㈜서울미트클럽,"[홀, 주방 월 380-400] 경력직 간부급 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45218827?rPageCode=SL&logpath=21&sn=6
㈜뷰티피플인터내셔널,[코스메틱 브랜드 뷰티피플] 상품개발팀(BM) / 웹디자인팀 / 마케팅팀 / 온라인(MD) / 제품디자인팀(패키지디자인) / 고객지원팀 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45206284?rPageCode=SL&logpath=21&sn=6
㈜지알테크,차량용품 생활용품 / 국내 해외 영업 및 관리,https://www.jobkorea.co.kr/Recruit/GI_Read/45212134?rPageCode=SL&logpath=21&sn=6
㈜클레마랑,"네이쳐러브메레 신입,경력 온라인 AMD 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45214589?rPageCode=SL&logpath=21&sn=6
㈜피에스피,평택삼성전자 ASML반도체 물류관리/정규직/4일근무/주야교대,https://www.jobkorea.co.kr/Recruit/GI_Read/45211545?rPageCode=SL&logpath=21&sn=6
㈜케이디글로벌,온라인 CS 발주 담당자 채용공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45205333?rPageCode=SL&logpath=21&sn=6
몽샹디저트,몽샹디저트 온라인팀 MD/AMD 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45208501?rPageCode=SL&logpath=21&sn=6
미샵컴퍼니,여성의류쇼핑몰-CS 고객관리 사원 채용 (대구중구),https://www.jobkorea.co.kr/Recruit/GI_Read/45207724?rPageCode=SL&logpath=21&sn=6
㈜찬스월드,(주)찬스월드 의류 및 잡화 기획생산 디자이너 부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45193103?rPageCode=SL&logpath=21&sn=6
㈜찬스월드,(주)찬스월드 의류 및 잡화 세일즈팀 MD 부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45193132?rPageCode=SL&logpath=21&sn=6
